id_venta,fecha,producto,categoria,cantidad,precio_unitario,descuento_pct,metodo_pago,cliente_frecuente,satisfaccion,total,opinion_usuario,año,mes,nombre_mes,año_mes
44,2022-03-15,Aceite,abarrotes,11.0,9.17,6.25,desconocido,si,3.0,94.57,excelente atención y encontré todo lo que necesitaba,2022,3,March,2022-03
45,2022-03-17,Arroz,abarrotes,4.0,21.84,13.19,plin,si,5.0,75.84,faltaban varios productos básicos,2022,3,March,2022-03
46,2022-03-18,Detergente,limpieza,14.0,18.55,9.38,efectivo,si,4.0,235.34,ofertas interesantes y personal amable,2022,3,March,2022-03
47,2022-03-20,Azúcar,abarrotes,7.0,11.98,24.25,yape,si,5.0,63.52,faltaban varios productos básicos,2022,3,March,2022-03
48,2022-03-22,Gaseosa,bebidas,8.0,34.2,4.32,tarjeta,no,5.0,261.78,había productos vencidos en el estante,2022,3,March,2022-03
49,2022-03-23,Atún,abarrotes,11.0,15.15,7.99,plin,no,3.0,153.33,la compra fue rápida y ordenada,2022,3,March,2022-03
50,2022-03-25,Pan,panadería,10.0,23.01,7.35,yape,no,3.0,123.87,buenos precios y productos frescos,2022,3,March,2022-03
51,2022-03-27,Pan,panadería,3.0,23.01,13.58,plin,si,1.0,18.64,mucha cola para pagar,2022,3,March,2022-03
52,2022-03-28,Leche,lácteos,5.0,23.01,12.48,tarjeta,no,3.0,90.1,mucha cola para pagar,2022,3,March,2022-03
53,2022-03-30,Aceite,abarrotes,6.0,14.68,16.09,yape,si,1.0,73.91,excelente atención y encontré todo lo que necesitaba,2022,3,March,2022-03
54,2022-04-01,Azúcar,abarrotes,14.0,17.56,0.0,efectivo,no,4.0,187.45,la compra fue rápida y ordenada,2022,4,April,2022-04
57,2022-04-06,Fideos,abarrotes,11.0,23.01,0.63,tarjeta,desconocido,5.0,458.65,la compra fue rápida y ordenada,2022,4,April,2022-04
58,2022-04-08,Leche,lácteos,11.0,23.16,6.56,plin,si,2.0,238.05,faltaban varios productos básicos,2022,4,April,2022-04
59,2022-04-09,Pan,panadería,7.0,29.47,11.59,plin,no,5.0,156.33,mucha cola para pagar,2022,4,April,2022-04
61,2022-04-13,Detergente,limpieza,13.0,44.95,15.44,tarjeta,si,4.0,494.13,excelente atención y encontré todo lo que necesitaba,2022,4,April,2022-04
62,2022-04-14,Desconocido,desconocido,8.0,28.19,0.0,efectivo,no,4.0,187.27,buenos precios y productos frescos,2022,4,April,2022-04
63,2022-04-16,Aceite,abarrotes,3.0,40.21,18.67,plin,si,4.0,98.108379,había productos vencidos en el estante,2022,4,April,2022-04
64,2022-04-18,Detergente,limpieza,11.0,41.02,12.91,efectivo,si,2.0,392.967498,mala atención del personal,2022,4,April,2022-04
65,2022-04-20,Azúcar,abarrotes,9.0,35.93,15.1,efectivo,no,4.0,274.54,excelente atención y encontré todo lo que necesitaba,2022,4,April,2022-04
66,2022-04-21,Aceite,abarrotes,8.0,21.55,9.9,tarjeta,desconocido,4.0,155.33,la compra fue rápida y ordenada,2022,4,April,2022-04
67,2022-04-23,Detergente,limpieza,11.0,5.03,1.03,efectivo,si,5.0,54.76,los precios no coincidían con la etiqueta,2022,4,April,2022-04
68,2022-04-25,Aceite,abarrotes,13.0,2.19,2.5,efectivo,no,3.0,27.76,mucha cola para pagar,2022,4,April,2022-04
69,2022-04-26,Arroz,abarrotes,5.0,23.01,16.37,yape,desconocido,3.0,96.216315,excelente atención y encontré todo lo que necesitaba,2022,4,April,2022-04
70,2022-04-28,Azúcar,abarrotes,6.0,23.0,24.89,yape,si,3.0,103.65,mala atención del personal,2022,4,April,2022-04
71,2022-04-30,Pan,panadería,3.0,19.22,0.4,tarjeta,si,1.0,57.42936,buenos precios y productos frescos,2022,4,April,2022-04
74,2022-05-05,Leche,lácteos,5.0,37.89,20.67,desconocido,si,4.0,150.29,excelente atención y encontré todo lo que necesitaba,2022,5,May,2022-05
75,2022-05-07,Atún,abarrotes,10.0,6.23,13.63,yape,desconocido,3.0,53.81,muy buena variedad de productos,2022,5,May,2022-05
76,2022-05-08,Azúcar,abarrotes,6.0,11.3,15.5,yape,no,3.0,57.29,mala atención del personal,2022,5,May,2022-05
77,2022-05-10,Aceite,abarrotes,7.0,36.0,17.42,plin,no,4.0,208.1,la compra fue rápida y ordenada,2022,5,May,2022-05
78,2022-05-12,Huevos,abarrotes,7.0,38.38,21.47,efectivo,si,1.0,210.98,la compra fue rápida y ordenada,2022,5,May,2022-05
79,2022-05-13,Fideos,abarrotes,7.0,44.77,3.06,efectivo,si,1.0,173.6,mala atención del personal,2022,5,May,2022-05
80,2022-05-15,Atún,abarrotes,2.0,39.47,23.15,tarjeta,no,2.0,60.67,ofertas interesantes y personal amable,2022,5,May,2022-05
81,2022-05-17,Detergente,limpieza,12.0,40.21,0.65,tarjeta,no,5.0,479.38,excelente atención y encontré todo lo que necesitaba,2022,5,May,2022-05
83,2022-05-20,Leche,lácteos,5.0,18.97,1.92,yape,no,1.0,93.03,la compra fue rápida y ordenada,2022,5,May,2022-05
85,2022-05-24,Atún,abarrotes,7.0,27.87,0.1,yape,no,3.0,55.68,mala atención del personal,2022,5,May,2022-05
86,2022-05-25,Pan,panadería,10.0,42.34,11.13,plin,si,5.0,376.28,buenos precios y productos frescos,2022,5,May,2022-05
87,2022-05-27,Arroz,abarrotes,11.0,16.49,8.36,tarjeta,no,3.0,166.23,excelente atención y encontré todo lo que necesitaba,2022,5,May,2022-05
88,2022-05-29,Aceite,abarrotes,7.0,25.73,4.15,efectivo,no,3.0,246.62,muy buena variedad de productos,2022,5,May,2022-05
89,2022-05-31,Pan,panadería,5.0,14.39,11.28,efectivo,no,1.0,63.83,desconocido,2022,5,May,2022-05
90,2022-06-01,Gaseosa,bebidas,1.0,8.89,10.06,tarjeta,si,2.0,8.0,buenos precios y productos frescos,2022,6,June,2022-06
91,2022-06-03,Azúcar,abarrotes,13.0,9.99,19.19,yape,no,3.0,104.95,ofertas interesantes y personal amable,2022,6,June,2022-06
92,2022-06-05,Gaseosa,bebidas,5.0,4.02,22.33,tarjeta,si,2.0,15.61,ofertas interesantes y personal amable,2022,6,June,2022-06
93,2022-06-06,Gaseosa,bebidas,12.0,42.79,16.31,tarjeta,no,4.0,429.73,mucha cola para pagar,2022,6,June,2022-06
94,2022-06-08,Aceite,abarrotes,3.0,19.03,3.11,tarjeta,si,5.0,55.314501,ofertas interesantes y personal amable,2022,6,June,2022-06
95,2022-06-10,Gaseosa,bebidas,3.0,37.78,0.0,plin,si,3.0,104.98,ofertas interesantes y personal amable,2022,6,June,2022-06
96,2022-06-11,Huevos,abarrotes,11.0,31.14,22.83,plin,si,2.0,264.34,muy buena variedad de productos,2022,6,June,2022-06
97,2022-06-13,Huevos,abarrotes,14.0,23.01,0.0,efectivo,desconocido,1.0,134.84,muy buena variedad de productos,2022,6,June,2022-06
98,2022-06-15,Atún,abarrotes,13.0,9.13,10.17,efectivo,si,4.0,106.62,muy buena variedad de productos,2022,6,June,2022-06
99,2022-06-17,Atún,abarrotes,11.0,36.82,23.56,efectivo,si,3.0,309.6,faltaban varios productos básicos,2022,6,June,2022-06
100,2022-06-18,Desconocido,desconocido,4.0,13.01,23.77,plin,no,2.0,39.67,excelente atención y encontré todo lo que necesitaba,2022,6,June,2022-06
101,2022-06-20,Gaseosa,bebidas,13.0,41.23,10.28,tarjeta,desconocido,2.0,480.89,buenos precios y productos frescos,2022,6,June,2022-06
102,2022-06-22,Leche,lácteos,10.0,7.59,16.68,plin,no,1.0,63.24,muy buena variedad de productos,2022,6,June,2022-06
104,2022-06-25,Arroz,abarrotes,2.0,36.93,18.84,yape,no,4.0,59.944776,desconocido,2022,6,June,2022-06
105,2022-06-27,Pan,panadería,13.0,11.73,0.79,tarjeta,si,2.0,151.29,la compra fue rápida y ordenada,2022,6,June,2022-06
106,2022-06-28,Desconocido,desconocido,4.0,13.52,3.6,tarjeta,no,1.0,52.13,excelente atención y encontré todo lo que necesitaba,2022,6,June,2022-06
107,2022-06-30,Pan,panadería,11.0,43.46,15.35,efectivo,si,3.0,404.68,había productos vencidos en el estante,2022,6,June,2022-06
108,2022-07-02,Atún,abarrotes,2.0,23.01,5.81,yape,si,4.0,24.51,ofertas interesantes y personal amable,2022,7,July,2022-07
109,2022-07-04,Azúcar,abarrotes,4.0,20.2,16.65,tarjeta,no,2.0,67.35,había productos vencidos en el estante,2022,7,July,2022-07
110,2022-07-05,Pan,panadería,4.0,20.31,8.78,desconocido,no,2.0,74.107128,los precios no coincidían con la etiqueta,2022,7,July,2022-07
111,2022-07-07,Huevos,abarrotes,4.0,12.51,22.17,efectivo,si,1.0,38.95,buenos precios y productos frescos,2022,7,July,2022-07
112,2022-07-09,Pan,panadería,10.0,35.25,20.48,plin,no,4.0,280.31,los precios no coincidían con la etiqueta,2022,7,July,2022-07
113,2022-07-10,Fideos,abarrotes,13.0,35.08,12.32,plin,desconocido,5.0,399.86,ofertas interesantes y personal amable,2022,7,July,2022-07
114,2022-07-12,Azúcar,abarrotes,13.0,17.96,19.32,tarjeta,si,4.0,188.37,muy buena variedad de productos,2022,7,July,2022-07
115,2022-07-14,Fideos,abarrotes,7.0,23.01,6.78,yape,si,3.0,150.149454,faltaban varios productos básicos,2022,7,July,2022-07
116,2022-07-16,Fideos,abarrotes,3.0,10.77,12.36,plin,no,4.0,28.32,había productos vencidos en el estante,2022,7,July,2022-07
117,2022-07-17,Arroz,abarrotes,14.0,1.69,4.94,yape,si,2.0,22.49,ofertas interesantes y personal amable,2022,7,July,2022-07
118,2022-07-19,Leche,lácteos,8.0,26.35,21.52,yape,si,3.0,165.44,buenos precios y productos frescos,2022,7,July,2022-07
122,2022-07-26,Desconocido,desconocido,14.0,24.07,23.99,yape,no,5.0,256.14,había productos vencidos en el estante,2022,7,July,2022-07
123,2022-07-27,Atún,abarrotes,9.0,36.73,5.71,yape,no,5.0,311.69,había productos vencidos en el estante,2022,7,July,2022-07
124,2022-07-29,Azúcar,abarrotes,9.0,5.37,23.3,yape,no,3.0,37.07,los precios no coincidían con la etiqueta,2022,7,July,2022-07
125,2022-07-31,Gaseosa,bebidas,11.0,18.69,14.28,efectivo,no,1.0,176.23,faltaban varios productos básicos,2022,7,July,2022-07
127,2022-08-03,Arroz,abarrotes,5.0,23.01,14.01,plin,si,5.0,75.93,mucha cola para pagar,2022,8,August,2022-08
129,2022-08-07,Fideos,abarrotes,1.0,10.0,7.21,tarjeta,si,1.0,9.28,mala atención del personal,2022,8,August,2022-08
130,2022-08-08,Atún,abarrotes,5.0,19.34,6.03,plin,si,1.0,90.87,ofertas interesantes y personal amable,2022,8,August,2022-08
131,2022-08-10,Fideos,abarrotes,11.0,22.35,2.06,tarjeta,si,3.0,240.79,había productos vencidos en el estante,2022,8,August,2022-08
132,2022-08-12,Fideos,abarrotes,14.0,38.99,0.0,plin,no,4.0,545.86,buenos precios y productos frescos,2022,8,August,2022-08
133,2022-08-14,Arroz,abarrotes,8.0,29.44,22.19,plin,no,5.0,183.26,buenos precios y productos frescos,2022,8,August,2022-08
134,2022-08-15,Fideos,abarrotes,6.0,31.53,15.75,plin,si,4.0,159.38,la compra fue rápida y ordenada,2022,8,August,2022-08
135,2022-08-17,Pan,panadería,7.0,44.26,13.02,efectivo,no,2.0,269.48,buenos precios y productos frescos,2022,8,August,2022-08
136,2022-08-19,Aceite,abarrotes,10.0,19.42,10.71,tarjeta,no,1.0,173.4,muy buena variedad de productos,2022,8,August,2022-08
139,2022-08-24,Aceite,abarrotes,8.0,12.2,20.57,efectivo,no,5.0,77.52,mucha cola para pagar,2022,8,August,2022-08
140,2022-08-25,Azúcar,abarrotes,6.0,23.01,4.96,tarjeta,si,3.0,189.6,excelente atención y encontré todo lo que necesitaba,2022,8,August,2022-08
141,2022-08-27,Detergente,limpieza,10.0,23.01,17.92,efectivo,no,3.0,281.7,faltaban varios productos básicos,2022,8,August,2022-08
142,2022-08-29,Huevos,abarrotes,13.0,5.75,19.0,plin,desconocido,2.0,60.54750000000001,la compra fue rápida y ordenada,2022,8,August,2022-08
143,2022-08-31,Huevos,abarrotes,14.0,21.87,14.37,plin,si,1.0,262.181934,ofertas interesantes y personal amable,2022,8,August,2022-08
144,2022-09-01,Azúcar,abarrotes,9.0,10.22,0.0,efectivo,no,5.0,72.14,la compra fue rápida y ordenada,2022,9,September,2022-09
145,2022-09-03,Detergente,limpieza,7.0,9.56,7.28,efectivo,no,5.0,53.18,muy buena variedad de productos,2022,9,September,2022-09
146,2022-09-05,Gaseosa,bebidas,7.0,21.68,22.04,desconocido,desconocido,1.0,118.31,excelente!!!,2022,9,September,2022-09
147,2022-09-06,Arroz,abarrotes,3.0,23.01,18.24,plin,no,4.0,34.56,mala atención del personal,2022,9,September,2022-09
148,2022-09-08,Huevos,abarrotes,14.0,23.01,0.0,tarjeta,si,2.0,404.81,ofertas interesantes y personal amable,2022,9,September,2022-09
149,2022-09-10,Gaseosa,bebidas,12.0,40.98,16.61,tarjeta,si,3.0,410.08,desconocido,2022,9,September,2022-09
150,2022-09-12,Arroz,abarrotes,12.0,36.42,21.16,tarjeta,si,5.0,344.56,la compra fue rápida y ordenada,2022,9,September,2022-09
151,2022-09-13,Gaseosa,bebidas,5.0,13.07,24.83,desconocido,no,5.0,49.123595,había productos vencidos en el estante,2022,9,September,2022-09
152,2022-09-15,Huevos,abarrotes,5.0,13.42,10.5,tarjeta,si,1.0,60.05,faltaban varios productos básicos,2022,9,September,2022-09
153,2022-09-17,Detergente,limpieza,12.0,23.01,20.35,efectivo,si,2.0,120.24,buenos precios y productos frescos,2022,9,September,2022-09
154,2022-09-18,Huevos,abarrotes,8.0,7.37,18.61,plin,no,3.0,47.99,muy buena variedad de productos,2022,9,September,2022-09
155,2022-09-20,Azúcar,abarrotes,10.0,42.56,11.32,tarjeta,si,5.0,377.42,la compra fue rápida y ordenada,2022,9,September,2022-09
157,2022-09-23,Leche,lácteos,7.0,11.27,9.86,yape,si,5.0,71.11,los precios no coincidían con la etiqueta,2022,9,September,2022-09
160,2022-09-29,Pan,panadería,5.0,3.03,5.64,efectivo,desconocido,1.0,14.3,los precios no coincidían con la etiqueta,2022,9,September,2022-09
161,2022-09-30,Detergente,limpieza,12.0,8.54,21.02,desconocido,desconocido,4.0,80.94,la compra fue rápida y ordenada,2022,9,September,2022-09
162,2022-10-02,Atún,abarrotes,4.0,29.31,9.91,plin,si,4.0,105.62,había productos vencidos en el estante,2022,10,October,2022-10
163,2022-10-04,Azúcar,abarrotes,6.0,35.56,9.85,yape,si,4.0,192.34,faltaban varios productos básicos,2022,10,October,2022-10
164,2022-10-05,Azúcar,abarrotes,13.0,10.68,6.15,plin,si,4.0,130.3,la compra fue rápida y ordenada,2022,10,October,2022-10
165,2022-10-07,Azúcar,abarrotes,14.0,41.41,12.29,yape,si,5.0,508.49,los precios no coincidían con la etiqueta,2022,10,October,2022-10
166,2022-10-09,Gaseosa,bebidas,13.0,38.52,0.0,tarjeta,no,5.0,399.86,faltaban varios productos básicos,2022,10,October,2022-10
167,2022-10-10,Aceite,abarrotes,5.0,38.4,0.0,yape,si,4.0,149.03,mala atención del personal,2022,10,October,2022-10
168,2022-10-12,Leche,lácteos,12.0,11.4,1.75,yape,si,5.0,134.41,la compra fue rápida y ordenada,2022,10,October,2022-10
169,2022-10-14,Aceite,abarrotes,14.0,3.7,14.37,tarjeta,si,4.0,44.36,la compra fue rápida y ordenada,2022,10,October,2022-10
170,2022-10-16,Desconocido,desconocido,14.0,39.23,11.68,plin,no,4.0,485.07,la compra fue rápida y ordenada,2022,10,October,2022-10
171,2022-10-17,Leche,lácteos,1.0,14.8,15.36,plin,no,3.0,12.53,desconocido,2022,10,October,2022-10
172,2022-10-19,Arroz,abarrotes,11.0,28.42,11.18,plin,no,4.0,277.67,mala atención del personal,2022,10,October,2022-10
173,2022-10-21,Pan,panadería,7.0,34.56,9.97,plin,si,1.0,435.6,había productos vencidos en el estante,2022,10,October,2022-10
175,2022-10-24,Atún,abarrotes,4.0,35.47,14.55,efectivo,si,3.0,121.23646,excelente atención y encontré todo lo que necesitaba,2022,10,October,2022-10
177,2022-10-28,Pan,panadería,2.0,33.18,11.8,yape,si,1.0,58.53,la compra fue rápida y ordenada,2022,10,October,2022-10
179,2022-10-31,Detergente,limpieza,9.0,39.64,18.64,tarjeta,no,1.0,290.26,la compra fue rápida y ordenada,2022,10,October,2022-10
180,2022-11-02,Fideos,abarrotes,7.0,24.44,8.53,tarjeta,si,5.0,156.49,la compra fue rápida y ordenada,2022,11,November,2022-11
182,2022-11-05,Leche,lácteos,4.0,37.19,0.0,plin,si,2.0,117.01,excelente atención y encontré todo lo que necesitaba,2022,11,November,2022-11
184,2022-11-08,Atún,abarrotes,10.0,23.01,14.57,tarjeta,no,3.0,119.77,muy buena variedad de productos,2022,11,November,2022-11
186,2022-11-12,Azúcar,abarrotes,5.0,11.87,18.48,plin,no,4.0,48.38,los precios no coincidían con la etiqueta,2022,11,November,2022-11
188,2022-11-15,Aceite,abarrotes,4.0,23.48,16.79,efectivo,si,2.0,78.15,mala atención del personal,2022,11,November,2022-11
189,2022-11-17,Huevos,abarrotes,7.0,26.85,6.38,tarjeta,si,3.0,175.96,ofertas interesantes y personal amable,2022,11,November,2022-11
190,2022-11-19,Aceite,abarrotes,9.0,18.69,12.78,efectivo,si,2.0,146.71,mucha cola para pagar,2022,11,November,2022-11
191,2022-11-20,Atún,abarrotes,6.0,35.73,23.72,tarjeta,si,3.0,163.53,muy buena variedad de productos,2022,11,November,2022-11
192,2022-11-22,Atún,abarrotes,6.0,41.22,9.53,plin,si,5.0,223.75,la compra fue rápida y ordenada,2022,11,November,2022-11
193,2022-11-24,Atún,abarrotes,5.0,12.23,21.89,yape,si,5.0,47.76,ofertas interesantes y personal amable,2022,11,November,2022-11
194,2022-11-26,Aceite,abarrotes,4.0,33.54,24.67,plin,no,3.0,101.06,buenos precios y productos frescos,2022,11,November,2022-11
196,2022-11-29,Arroz,abarrotes,12.0,24.25,4.15,plin,no,1.0,278.92,mucha cola para pagar,2022,11,November,2022-11
197,2022-12-01,Aceite,abarrotes,5.0,9.7,0.0,tarjeta,si,5.0,38.56,mala atención del personal,2022,12,December,2022-12
198,2022-12-02,Leche,lácteos,13.0,36.09,0.8,plin,no,2.0,465.42,buenos precios y productos frescos,2022,12,December,2022-12
199,2022-12-04,Aceite,abarrotes,8.0,43.29,9.83,efectivo,desconocido,1.0,312.28,la compra fue rápida y ordenada,2022,12,December,2022-12
200,2022-12-06,Detergente,limpieza,3.0,32.9,21.77,tarjeta,no,2.0,77.21,ofertas interesantes y personal amable,2022,12,December,2022-12
201,2022-12-07,Aceite,abarrotes,6.0,41.43,17.22,yape,si,3.0,205.77,ofertas interesantes y personal amable,2022,12,December,2022-12
202,2022-12-09,Detergente,limpieza,1.0,44.31,13.32,tarjeta,desconocido,4.0,38.41,excelente atención y encontré todo lo que necesitaba,2022,12,December,2022-12
203,2022-12-11,Desconocido,desconocido,1.0,16.81,9.7,tarjeta,no,2.0,15.18,la compra fue rápida y ordenada,2022,12,December,2022-12
204,2022-12-13,Atún,abarrotes,5.0,29.26,20.31,efectivo,no,5.0,116.59,muy buena variedad de productos,2022,12,December,2022-12
205,2022-12-14,Azúcar,abarrotes,7.0,22.12,0.0,efectivo,si,4.0,127.37,muy buena variedad de productos,2022,12,December,2022-12
208,2022-12-19,Desconocido,desconocido,12.0,19.44,5.75,efectivo,si,4.0,219.87,faltaban varios productos básicos,2022,12,December,2022-12
210,2022-12-23,Pan,panadería,7.0,13.86,16.07,plin,no,4.0,23.27,buenos precios y productos frescos,2022,12,December,2022-12
212,2022-12-26,Pan,panadería,11.0,18.15,6.18,desconocido,si,2.0,187.31,había productos vencidos en el estante,2022,12,December,2022-12
213,2022-12-28,Pan,panadería,9.0,23.01,6.24,yape,no,5.0,372.39,buenos precios y productos frescos,2022,12,December,2022-12
214,2022-12-30,Azúcar,abarrotes,7.0,39.93,3.49,efectivo,no,5.0,77.07,excelente atención y encontré todo lo que necesitaba,2022,12,December,2022-12
215,2022-12-31,Pan,panadería,7.0,14.61,21.51,efectivo,si,5.0,22.93,excelente atención y encontré todo lo que necesitaba,2022,12,December,2022-12
216,2023-01-02,Huevos,abarrotes,6.0,35.0,5.66,efectivo,no,2.0,198.11,excelente atención y encontré todo lo que necesitaba,2023,1,January,2023-01
217,2023-01-04,Arroz,abarrotes,7.0,16.15,12.58,yape,no,4.0,98.83,buenos precios y productos frescos,2023,1,January,2023-01
219,2023-01-07,Azúcar,abarrotes,5.0,23.01,0.3,tarjeta,si,1.0,114.70484999999998,la compra fue rápida y ordenada,2023,1,January,2023-01
220,2023-01-09,Detergente,limpieza,3.0,37.59,13.91,efectivo,no,3.0,97.08,ofertas interesantes y personal amable,2023,1,January,2023-01
221,2023-01-11,Leche,lácteos,14.0,2.56,12.81,tarjeta,si,1.0,31.25,muy buena variedad de productos,2023,1,January,2023-01
222,2023-01-12,Azúcar,abarrotes,3.0,11.08,20.19,yape,si,5.0,26.53,buenos precios y productos frescos,2023,1,January,2023-01
223,2023-01-14,Pan,panadería,1.0,32.47,8.88,tarjeta,no,3.0,29.59,muy buena variedad de productos,2023,1,January,2023-01
224,2023-01-16,Huevos,abarrotes,6.0,26.01,10.26,tarjeta,no,2.0,140.05,muy buena variedad de productos,2023,1,January,2023-01
225,2023-01-17,Pan,panadería,7.0,23.06,4.2,yape,no,1.0,132.55,excelente atención y encontré todo lo que necesitaba,2023,1,January,2023-01
226,2023-01-19,Aceite,abarrotes,9.0,3.9,18.52,yape,no,4.0,28.6,la compra fue rápida y ordenada,2023,1,January,2023-01
227,2023-01-21,Desconocido,desconocido,13.0,16.65,19.62,desconocido,no,3.0,173.98,ofertas interesantes y personal amable,2023,1,January,2023-01
229,2023-01-24,Fideos,abarrotes,5.0,2.84,0.0,plin,si,5.0,12.8,excelente atención y encontré todo lo que necesitaba,2023,1,January,2023-01
230,2023-01-26,Leche,lácteos,14.0,18.74,22.32,yape,no,2.0,203.8,muy buena variedad de productos,2023,1,January,2023-01
231,2023-01-28,Azúcar,abarrotes,9.0,42.61,0.07,yape,si,3.0,383.22,ofertas interesantes y personal amable,2023,1,January,2023-01
232,2023-01-29,Gaseosa,bebidas,1.0,3.71,7.47,yape,si,2.0,3.43,excelente atención y encontré todo lo que necesitaba,2023,1,January,2023-01
233,2023-01-31,Arroz,abarrotes,14.0,34.11,0.0,tarjeta,no,3.0,411.26,muy buena variedad de productos,2023,1,January,2023-01
234,2023-02-02,Pan,panadería,2.0,12.71,8.35,tarjeta,no,1.0,23.3,los precios no coincidían con la etiqueta,2023,2,February,2023-02
