id_venta,fecha,producto,categoria,cantidad,precio_unitario,descuento_pct,metodo_pago,cliente_frecuente,satisfaccion,total,opinion_usuario
,2022-04-11,Atún,lacteos,6.0,39.22,0.77,tarjeta,no,"3,00",233.51,Ofertas interesantes y personal amable
61.0,2022-04-13,Detergente,bebidas,13.0,44.95,15.44,tarjeta,si,4.0,494.13,Excelente atención y encontré todo lo que necesitaba
62.0,2022-04-14,,bebidas,8.0,28.19,-16.96,efectivo,no,4.0,187.27,Buenos precios y productos frescos
63.0,2022-04-16,Aceite,abarrotes,3.0,40.21,18.67,plin,si,4.0,-98.11,Había productos vencidos en el estante
64.0,2022-04-18,Detergente,bebidas,11.0,41.02,12.91,efectivo,si,2.0,-392.97,Mala atención del personal
65.0,2022-04-20,Azúcar,bebidas,9.0,35.93,15.1,efectivo,no,4.0,274.54,Excelente atención y encontré todo lo que necesitaba
66.0,2022-04-21,Aceite,lacteos,8.0,21.55,9.9,tarjeta,,4.0,155.33,La compra fue rápida y ordenada
67.0, 2022-04-23 ,Detergente,panaderia,11.0,5.03,1.03,efectivo,si,5.0,54.76,Los precios no coincidían con la etiqueta
68.0,2022-04-25,Aceite,bebidas,13.0,2.19,2.5,efectivo,no,3.0,27.76,Mucha cola para pagar
69.0,2022-04-26,Arroz,lacteos,5.0,-22.26,16.37,yape,,3.0,,excelente atención y encontré todo lo que necesitaba
70.0,2022-04-28,Azúcar,abarrotes,6.0,23.0,24.89,yape,si,3.0,103.65,Mala atención del personal
71.0,2022-04-30,Pan,bebidas,3.0,19.22,0.4,tarjeta,si,1.0,,Buenos precios y productos frescos
72.0,,Leche,lacteos,10.0,26.22,13.94,plin,si,1.0,225.65,Excelente atención y encontré todo lo que necesitaba
73.0,,Azúcar,bebidas,6.0,-25.52,18.78,yape,no,1.0,124.36,Mala atención del personal
74.0,2022-05-05,Leche,limpieza,5.0,37.89,20.67,,si,4.0,150.29,Excelente atención y encontré todo lo que necesitaba
75.0,2022-05-07,Atún,limpieza,10.0,6.23,13.63,yape,,3.0,53.81,Muy buena variedad de productos
76.0,2022-05-08,Azúcar,abarrotes,6.0,11.3,15.5,yape,no,-5.0,57.29,Mala atención del personal
77.0,2022-05-10,Aceite,,7.0,36.0,17.42,plin,no,4.0,208.1,La compra fue rápida y ordenada
78.0,2022-05-12,Huevos,abarrotes,7.0,"38,38",21.47,efectivo,si,1.0,210.98,La compra fue rápida y ordenada
79.0,2022-05-13,Fideos,limpieza,,44.77,3.06,efectivo,si,1.0,173.6,Mala atención del personal
80.0,2022-05-15,Atún,panaderia,2.0,39.47,23.15,tarjeta,no,2.0,60.67,Ofertas interesantes y personal amable
81.0,2022-05-17,Detergente,panaderia,12.0,40.21,0.65,tarjeta,no,5.0,479.38,Excelente atención y encontré todo lo que necesitaba
82.0,,Azúcar,panaderia,2.0,15.17,20.9,plin,si,1.0,"24,00",Había productos vencidos en el estante
83.0,2022-05-20,Leche,panaderia,5.0,18.97,1.92,yape,no,1.0,93.03,La compra fue rápida y ordenada
,2022-05-22,Gaseosa,limpieza,10.0,13.16,4.87,yape,no,1.0,125.19,Buenos precios y productos frescos
85.0,2022-05-24,Atún,lacteos,,27.87,0.1,yape,no,3.0,55.68,Mala atención del personal
86.0,2022-05-25,Pan,panaderia,10.0,42.34,11.13,plin,si,5.0,376.28,Buenos precios y productos frescos
87.0,2022-05-27,Arroz,panaderia,11.0,16.49,8.36,tarjeta,no,,"166,23",Excelente atención y encontré todo lo que necesitaba
88.0,2022-05-29,Aceite,panaderia,-10.0,25.73,4.15,efectivo,no,3.0,246.62,muy buena variedad de productos
89.0,2022-05-31,Pan,bebidas,5.0,14.39,11.28,efectivo,no,1.0,63.83,
90.0,2022-06-01,Gaseosa,abarrotes,1.0,8.89,10.06,tarjeta,si,2.0,8.0,Buenos precios y productos frescos
91.0,2022-06-03,Azúcar,limpieza,13.0,9.99,19.19,yape, NO ,3.0,104.95,ofertas interesantes y personal amable
92.0,2022-06-05,Gaseosa,limpieza,5.0,4.02,22.33,tarjeta,si,2.0,15.61,Ofertas interesantes y personal amable
93.0,2022-06-06,Gaseosa,panaderia,12.0,42.79,16.31,tarjeta,no,4.0,429.73,Mucha cola para pagar
94.0,2022-06-08,Aceite,lacteos,3.0,19.03,3.11,tarjeta,si,5.0,-55.31,Ofertas interesantes y personal amable
95.0,2022-06-10,Gaseosa,,3.0,"37,78",,plin,si,,104.98,Ofertas interesantes y personal amable
96.0,2022-06-11,Huevos,abarrotes,11.0,31.14,22.83,plin,si,2.0,264.34,Muy buena variedad de productos
97.0,2022-06-13,Huevos,panaderia,14.0,,,efectivo,,1.0,134.84,Muy buena variedad de productos
98.0,2022-06-15,Atún,bebidas,13.0,9.13,10.17,efectivo,si,4.0,106.62,Muy buena variedad de productos
99.0,2022-06-17,Atún,abarrotes,11.0,36.82,23.56,efectivo,si,3.0,309.6, FALTABAN VARIOS PRODUCTOS BÁSICOS 
100.0,2022-06-18,,limpieza,4.0,13.01,23.77,plin,no,2.0,39.67,Excelente atención y encontré todo lo que necesitaba
101.0,2022-06-20,Gaseosa,limpieza,13.0,41.23,10.28,tarjeta,,2.0,480.89,Buenos precios y productos frescos
102.0,2022-06-22,Leche,limpieza,10.0,7.59,16.68,plin,no,1.0,63.24,Muy buena variedad de productos
,2022-06-23,Gaseosa,panaderia,3.0,30.98,11.42,yape,si,3.0,"82,33",Excelente atención y encontré todo lo que necesitaba
104.0,2022-06-25,Arroz,abarrotes,2.0,36.93,18.84,yape,no,4.0,,
105.0,2022-06-27,Pan,lacteos,13.0,11.73,0.79,tarjeta,si,2.0,151.29,La compra fue rápida y ordenada
106.0,2022-06-28,,,4.0,13.52,3.6,tarjeta,no,1.0,52.13,Excelente atención y encontré todo lo que necesitaba
107.0,2022-06-30,Pan,lacteos,11.0,43.46,15.35,efectivo,si,3.0,404.68,Había productos vencidos en el estante
108.0,2022-07-02,Atún,panaderia,2.0,-13.01,5.81,yape,si,4.0,24.51,Ofertas interesantes y personal amable
109.0,2022-07-04,Azúcar,panaderia,"4,00",20.2,16.65,tarjeta,no,2.0,67.35,Había productos vencidos en el estante
110.0,2022-07-05,Pan,abarrotes,4.0,20.31,8.78,,no,2.0,-74.11,Los precios no coincidían con la etiqueta
111.0,2022-07-07,Huevos, BEBIDAS ,4.0,12.51,22.17,efectivo,si,1.0,38.95,Buenos precios y productos frescos
112.0,2022-07-09,Pan,lacteos,10.0,35.25,20.48,plin,no,4.0,"280,31",Los precios no coincidían con la etiqueta
113.0,2022-07-10,Fideos,abarrotes,13.0,35.08,12.32,plin,,"5,00",399.86,Ofertas interesantes y personal amable
114.0,2022-07-12,Azúcar,lacteos,13.0,17.96,19.32,tarjeta,si,4.0,188.37,Muy buena variedad de productos
115.0,2022-07-14,Fideos,abarrotes,-11.0,,6.78,yape, SI ,3.0,,Faltaban varios productos básicos
116.0,2022-07-16,Fideos,limpieza,3.0,10.77,12.36,plin,no,4.0,28.32,Había productos vencidos en el estante
117.0,2022-07-17,Arroz,panaderia,14.0,1.69,4.94,yape,si,2.0,22.49,Ofertas interesantes y personal amable
118.0,2022-07-19,Leche,limpieza,8.0,26.35,21.52,yape,si,,165.44,Buenos precios y productos frescos
,2022-07-21,Huevos,bebidas,8.0,44.74,"20,58",tarjeta,si,"2,00",284.26, MALA ATENCIÓN DEL PERSONAL 
120.0,,Leche,limpieza,10.0,3.18,22.55, YAPE ,no,4.0,24.63,Buenos precios y productos frescos
121.0,,Azúcar,abarrotes,11.0,10.55,21.94,yape,si,4.0,90.59,Excelente atención y encontré todo lo que necesitaba
122.0,2022-07-26,,abarrotes,14.0,24.07,23.99,yape,no,"5,00",256.14,Había productos vencidos en el estante
123.0,2022-07-27,Atún, LACTEOS ,9.0,36.73,5.71,yape,no,5.0,311.69,Había productos vencidos en el estante
124.0,2022-07-29,Azúcar,lacteos,9.0,5.37,23.3,yape,no,-2.0,37.07,Los precios no coincidían con la etiqueta
125.0,2022-07-31,Gaseosa,panaderia,11.0,"18,69",14.28,efectivo,no,"1,00",176.23,Faltaban varios productos básicos
,2022-08-02,Fideos,panaderia,4.0,34.0,10.56,plin,si,2.0,121.64,Muy buena variedad de productos
127.0,2022-08-03,Arroz,panaderia,5.0,,14.01,plin,si,5.0,75.93,Mucha cola para pagar
128.0,,Pan,bebidas,9.0,9.71,8.57,efectivo,no,5.0,79.9,Buenos precios y productos frescos
129.0,2022-08-07,fideos,limpieza,1.0,10.0,"7,21",tarjeta,si,"1,00",9.28,Mala atención del personal
130.0,2022-08-08,Atún,bebidas,5.0,19.34,6.03,plin,si,1.0,90.87,Ofertas interesantes y personal amable
131.0,2022-08-10,Fideos,limpieza,11.0,22.35,2.06,tarjeta,si,3.0,240.79, HABÍA PRODUCTOS VENCIDOS EN EL ESTANTE 
132.0,2022-08-12,Fideos,bebidas,14.0,38.99,-12.41,plin,no,4.0,,Buenos precios y productos frescos
133.0,2022-08-14,Arroz,bebidas,8.0,29.44,22.19,plin,no,5.0,183.26,Buenos precios y productos frescos
134.0,2022-08-15,Fideos,bebidas,6.0,31.53,15.75,plin,si,4.0,159.38,La compra fue rápida y ordenada
135.0,2022-08-17,Pan,bebidas,,44.26,13.02,efectivo,no,2.0,269.48,Buenos precios y productos frescos
136.0,2022-08-19,Aceite,abarrotes,10.0,19.42,10.71,tarjeta,no,1.0,173.4,Muy buena variedad de productos
,2022-08-20,Atún,bebidas,8.0,19.05,11.61,yape,no,4.0,,Ofertas interesantes y personal amable
,2022-08-22, ARROZ ,,1.0,41.67,5.23,plin,no,3.0,39.49,Buenos precios y productos frescos
139.0,2022-08-24,Aceite,bebidas,8.0,12.2,20.57,efectivo,no,5.0,77.52,Mucha cola para pagar
140.0,2022-08-25,Azúcar,limpieza,6.0,,4.96,tarjeta,si,3.0,189.6,Excelente atención y encontré todo lo que necesitaba
141.0,2022-08-27,Detergente,panaderia,10.0,,17.92,efectivo,no,3.0,281.7,Faltaban varios productos básicos
142.0,2022-08-29,Huevos,lacteos,13.0,5.75,19.0,plin,,2.0,-60.55,La compra fue rápida y ordenada
143.0,2022-08-31,Huevos,panaderia,14.0,21.87,14.37,plin,si,1.0,,Ofertas interesantes y personal amable
144.0,2022-09-01,Azúcar,panaderia,9.0,10.22,,efectivo,no,5.0,72.14,La compra fue rápida y ordenada
145.0,2022-09-03,Detergente,lacteos,,9.56,7.28,efectivo,no,5.0,53.18,Muy buena variedad de productos
146.0,2022-09-05,Gaseosa,limpieza,7.0,21.68,"22,04",,,1.0,118.31,EXCELENTE!!!
147.0,2022-09-06,Arroz,limpieza,3.0,,18.24,plin,no,4.0,34.56,Mala atención del personal
148.0,2022-09-08,Huevos,bebidas,14.0,,,tarjeta,si,2.0,404.81,Ofertas interesantes y personal amable
149.0,2022-09-10,Gaseosa,bebidas,12.0,40.98,16.61,tarjeta,si,3.0,410.08,
150.0, 2022-09-12 ,Arroz,panaderia,12.0,36.42,21.16,tarjeta,si,5.0,344.56,La compra fue rápida y ordenada
151.0,2022-09-13,Gaseosa,lacteos,5.0,13.07,24.83,,no,5.0,, HABÍA PRODUCTOS VENCIDOS EN EL ESTANTE 
152.0,2022-09-15,Huevos,limpieza,5.0,13.42,10.5,tarjeta,si,1.0,60.05,Faltaban varios productos básicos
153.0,2022-09-17,Detergente,limpieza,12.0,,20.35,efectivo,si,2.0,120.24,Buenos precios y productos frescos
154.0,2022-09-18,Huevos,panaderia,8.0,7.37,18.61,plin,no,,47.99, MUY BUENA VARIEDAD DE PRODUCTOS 
155.0,2022-09-20,Azúcar,lacteos,10.0,42.56,11.32,tarjeta,si,5.0,"377,42",La compra fue rápida y ordenada
,2022-09-22,Atún,limpieza,7.0,18.99,,tarjeta,no,"1,00",102.13, MUY BUENA VARIEDAD DE PRODUCTOS 
157.0,2022-09-23,Leche,abarrotes,7.0,11.27,9.86,yape,si,5.0,71.11,Los precios no coincidían con la etiqueta
158.0,,Fideos,panaderia,9.0,38.33,14.14,yape,si,3.0,296.19,Muy buena variedad de productos
159.0,,Fideos,lacteos,"12,00",18.86,2.65,efectivo,no,3.0,"220,32",Ofertas interesantes y personal amable
160.0,2022-09-29,Pan,lacteos,5.0,3.03,"5,64",efectivo,,1.0,14.3,Los precios no coincidían con la etiqueta
161.0,2022-09-30,Detergente,limpieza,12.0,8.54,21.02,,,4.0,80.94,La compra fue rápida y ordenada
162.0,2022-10-02,Atún,limpieza,4.0,29.31,9.91,plin,si,4.0,105.62,Había productos vencidos en el estante
163.0,2022-10-04,Azúcar,panaderia,6.0,35.56,9.85,yape,si,4.0,192.34,Faltaban varios productos básicos
164.0,2022-10-05,Azúcar,limpieza,13.0,10.68,6.15,plin,si,4.0,130.3,La compra fue rápida y ordenada
165.0,2022-10-07,Azúcar,limpieza,14.0,"41,41",12.29,yape,si,5.0,508.49,Los precios no coincidían con la etiqueta
166.0,2022-10-09,Gaseosa,abarrotes,13.0,38.52,-20.15,tarjeta,no,5.0,399.86,Faltaban varios productos básicos
167.0,2022-10-10,Aceite,abarrotes,5.0,38.4,,yape,si,4.0,149.03,Mala atención del personal
168.0,2022-10-12,Leche,lacteos,12.0,11.4,1.75,yape,si,5.0,134.41,La compra fue rápida y ordenada
169.0,2022-10-14,Aceite,panaderia,14.0,"3,70",14.37,tarjeta,si,4.0,44.36,La compra fue rápida y ordenada
170.0,2022-10-16,,panaderia,14.0,39.23,11.68,plin,no,4.0,485.07, LA COMPRA FUE RÁPIDA Y ORDENADA 
171.0,2022-10-17,Leche,bebidas,1.0,14.8,15.36,plin,no,3.0,12.53,
172.0,2022-10-19,Arroz,bebidas,11.0,28.42,11.18,plin,no,4.0,277.67,Mala atención del personal
173.0,2022-10-21,Pan,lacteos,,34.56,9.97,plin,si,1.0,435.6,Había productos vencidos en el estante
,2022-10-22,pan,abarrotes,11.0,7.08,11.8,tarjeta,no,3.0,68.69,Muy buena variedad de productos
175.0,2022-10-24,Atún,abarrotes,4.0,35.47,14.55,efectivo,si,3.0,,Excelente atención y encontré todo lo que necesitaba
,2022-10-26,,lacteos,11.0,42.33,"12,52",tarjeta,no,5.0,407.33,Los precios no coincidían con la etiqueta
177.0,2022-10-28,Pan,lacteos,"2,00",33.18,11.8,yape,si,1.0,58.53,La compra fue rápida y ordenada
,2022-10-29,Leche,abarrotes,7.0,20.69,20.45,plin,si,4.0,,Buenos precios y productos frescos
179.0, 2022-10-31 ,Detergente,lacteos,"9,00",39.64,18.64,tarjeta,no,1.0,290.26,La compra fue rápida y ordenada
180.0,2022-11-02,Fideos,abarrotes,,24.44,8.53,tarjeta,si,5.0,156.49,La compra fue rápida y ordenada
181.0,,Detergente,bebidas,10.0,33.9,20.01,tarjeta,si,5.0,271.17,La compra fue rápida y ordenada
182.0, 2022-11-05 ,Leche,panaderia,4.0,37.19,,plin,si,2.0,117.01, EXCELENTE ATENCIÓN Y ENCONTRÉ TODO LO QUE NECESITABA 
,2022-11-07,Azúcar,bebidas,9.0,34.1,3.84,efectivo,no,5.0,295.12,Excelente atención y encontré todo lo que necesitaba
184.0,2022-11-08,Atún,,10.0,,14.57,tarjeta,no,3.0,119.77,Muy buena variedad de productos
,2022-11-10,Azúcar,limpieza,9.0,,7.13,efectivo,no,5.0,55.42,Ofertas interesantes y personal amable
186.0,2022-11-12,Azúcar,lacteos,5.0,11.87,18.48,plin,no,4.0,48.38,Los precios no coincidían con la etiqueta
,2022-11-14,Leche,abarrotes,5.0,23.38,5.97,,si,1.0,,Buenos precios y productos frescos
188.0,2022-11-15,Aceite,limpieza,4.0,23.48,16.79,efectivo,si,2.0,78.15, MALA ATENCIÓN DEL PERSONAL 
189.0,2022-11-17,Huevos,limpieza,7.0,26.85,6.38,tarjeta,si,3.0,175.96,Ofertas interesantes y personal amable
190.0,2022-11-19,Aceite,abarrotes,9.0,18.69,12.78,efectivo,si,2.0,146.71,Mucha cola para pagar
191.0,2022-11-20,Atún,limpieza,"6,00",35.73,23.72,tarjeta,si,,163.53,Muy buena variedad de productos
192.0,2022-11-22,Atún,lacteos,6.0,41.22,9.53,plin,si,5.0,223.75,La compra fue rápida y ordenada
193.0,2022-11-24,Atún,abarrotes,5.0,12.23,21.89,yape,si,5.0,47.76,Ofertas interesantes y personal amable
194.0,2022-11-26,Aceite,bebidas,4.0,33.54,"24,67",plin,no,3.0,101.06,Buenos precios y productos frescos
195.0,,Detergente,limpieza,10.0,,"21,87",yape,si,2.0,242.12,Había productos vencidos en el estante
196.0,2022-11-29,Arroz,bebidas,12.0,24.25,4.15,plin,no,1.0,278.92,Mucha cola para pagar
197.0,2022-12-01,Aceite,bebidas,5.0,9.7,,tarjeta,si,5.0,38.56,Mala atención del personal
198.0,2022-12-02,Leche,panaderia,13.0,36.09,0.8,plin,no,2.0,465.42,Buenos precios y productos frescos
199.0,2022-12-04,Aceite,panaderia,8.0,43.29,9.83,efectivo,,1.0,312.28,La compra fue rápida y ordenada
200.0,2022-12-06,Detergente,bebidas,3.0,32.9,21.77,tarjeta,no,2.0,77.21,Ofertas interesantes y personal amable
201.0,2022-12-07,Aceite,,6.0,41.43,17.22,yape,si,3.0,205.77,Ofertas interesantes y personal amable
202.0,2022-12-09,Detergente,limpieza,1.0,44.31,13.32,tarjeta,,4.0,38.41,Excelente atención y encontré todo lo que necesitaba
203.0,2022-12-11,,panaderia,1.0,16.81,9.7,tarjeta,no,2.0,15.18,La compra fue rápida y ordenada
204.0,2022-12-13,Atún,bebidas,5.0,29.26,20.31,efectivo,no,5.0,116.59,Muy buena variedad de productos
205.0,2022-12-14,Azúcar,bebidas,,22.12,-17.74,efectivo,si,4.0,127.37,Muy buena variedad de productos
,2022-12-16,Huevos,panaderia,12.0,44.42,11.71,yape,no,5.0,470.62,Muy buena variedad de productos
,2022-12-18,Pan, LIMPIEZA ,2.0,5.58,22.31,plin,si,-2.0,8.67,Muy buena variedad de productos
208.0,2022-12-19,,bebidas,12.0,19.44,5.75,efectivo,si,4.0,219.87,Faltaban varios productos básicos
209.0,,Huevos,lacteos,4.0,39.59,4.26,tarjeta,si,,151.61,Los precios no coincidían con la etiqueta
210.0,2022-12-23,pan,panaderia,-2.0,13.86,16.07,plin,no,4.0,23.27,Buenos precios y productos frescos
211.0,,Huevos,bebidas,10.0,,24.3,plin,no,4.0,270.78,excelente atención y encontré todo lo que necesitaba
212.0,2022-12-26,Pan,bebidas,11.0,18.15,6.18,,si,2.0,187.31,Había productos vencidos en el estante
213.0,2022-12-28,Pan,limpieza,9.0,,6.24,yape, NO ,5.0,372.39,Buenos precios y productos frescos
214.0,2022-12-30,Azúcar,panaderia,-2.0,39.93,3.49,efectivo,no,5.0,77.07,Excelente atención y encontré todo lo que necesitaba
215.0,2022-12-31,Pan,abarrotes,,14.61,21.51,efectivo,si,5.0,22.93,Excelente atención y encontré todo lo que necesitaba
216.0,2023-01-02,Huevos,abarrotes,6.0,35.0,5.66,efectivo,no,2.0,198.11,Excelente atención y encontré todo lo que necesitaba
217.0,2023-01-04,Arroz,limpieza,7.0,16.15,12.58,yape,no,4.0,98.83,Buenos precios y productos frescos
,2023-01-05,Arroz,bebidas,14.0,,24.77,efectivo,no,1.0,293.64,Excelente atención y encontré todo lo que necesitaba
219.0,2023-01-07,Azúcar,panaderia,5.0,,0.3,tarjeta,si,1.0,,La compra fue rápida y ordenada
220.0,2023-01-09,Detergente,limpieza,3.0,37.59,13.91,efectivo,no,,97.08,Ofertas interesantes y personal amable
221.0,2023-01-11,Leche,bebidas,14.0,2.56,12.81,tarjeta,si,1.0,31.25,Muy buena variedad de productos
222.0,2023-01-12,Azúcar,limpieza,3.0,11.08,20.19,yape,si,5.0,26.53,Buenos precios y productos frescos
223.0,2023-01-14,Pan,panaderia,1.0,32.47,8.88,tarjeta,no,3.0,29.59,Muy buena variedad de productos
224.0,2023-01-16,Huevos,bebidas,6.0,26.01,10.26,tarjeta,no,2.0,140.05,Muy buena variedad de productos
225.0,2023-01-17,Pan, LIMPIEZA ,,23.06,4.2,yape,no,1.0,132.55, EXCELENTE ATENCIÓN Y ENCONTRÉ TODO LO QUE NECESITABA 
226.0,2023-01-19,Aceite,panaderia,9.0,3.9,18.52,yape,no,4.0,28.6,La compra fue rápida y ordenada
227.0,2023-01-21,,abarrotes,13.0,16.65,19.62,,no,,173.98,Ofertas interesantes y personal amable
,2023-01-22,Fideos,panaderia,14.0,39.13,3.42,plin,no,"3,00",529.08,Mucha cola para pagar
229.0,2023-01-24,Fideos,abarrotes,5.0,2.84,-9.84,plin,si,5.0,12.8,Excelente atención y encontré todo lo que necesitaba
230.0,2023-01-26,Leche,lacteos,14.0,18.74,22.32,yape,no,2.0,203.8,Muy buena variedad de productos
